EAN,ITEM SKU,PRODUCT NAME,BRAND NAME,REQUIRED PRICE TO AMAZON
4011700740062,5,4711 Original,4711,26.1
8028713000089,12,Colonia,Acqua di Parma,85.26
3412244510004,25,Fruity Rhythm For Women,Adidas,12.93
8411061401705,78,Agua Brava,Antonio Puig,22.0
3351500920037,97,Chrome,Azzaro,59.62
3351500920013,98,Chrome,Azzaro,38.49
3351500975013,119,Silver Black,Azzaro,42.43
3577581813901,171,Boucheron,Boucheron,39.16
3577580203086,174,Boucheron Pour Homme,Boucheron,53.14
3577580208142,175,Boucheron Pour Homme,Boucheron,37.28
719346034425,182,Curious,Britney Spears,30.12
719346065405,188,Fantasy,Britney Spears,37.3
3386463023631,196,Brit   For Men,Burberry,29.07
3386463021828,197,Brit for Her,Burberry,51.56
5045493535368,200,Brit for Her,Burberry,53.56
5045252667859,206,Brit for Her,Burberry,56.57
5045493535429,209,Brit   For Men,Burberry,56.21
5045252668122,220,London,Burberry,43.74
5045252668146,223,London,Burberry,40.65
3614226905666,227,For Women,Burberry,61.14
3614226905697,228,For Women,Burberry,41.14
3386460080026,232,For Men,Burberry,43.05
5045252649107,241,Touch For Women,Burberry,43.06
5045294100406,242,Touch For Women,Burberry,55.3
3614227748682,246,Touch For Men,Burberry,48.55
3614227748361,250,Weekend For Women,Burberry,33.36
3386463302736,251,Weekend For Women,Burberry,43.84
5045252667484,252,Weekend For Women,Burberry,49.56
5045252667606,259,Weekend For Men,Burberry,38.39
3386463402818,260,Weekend For Men,Burberry,45.2
3614227748521,261,Weekend For Men,Burberry,27.01
783320911521,270,Aqva Pour Homme,Bvlgari,99.92
783320911026,277,Aqva Pour Homme,Bvlgari,98.27
783320911224,278,Aqva Pour Homme,Bvlgari,65.58
8007033780017,363,Cielo,Byblos,15.25
8007033780031,364,Ghiaccio,Byblos,15.25
3360373048861,402,Eden,Cacharel,36.97
3360373048878,403,Eden,Cacharel,51.16
3360373000074,409,Lou Lou,Cacharel,34.51
3360373000081,410,Lou Lou,Cacharel,50.81
3360373016358,417,Noa,Cacharel,67.48
3360373001774,437,Pour Homme,Cacharel,65.74
88300604685,448,CK Be,Calvin Klein,28.41
88300104406,450,CK Be,Calvin Klein,41.42
88300000319,456,Contradiction For Men,Calvin Klein,42.65
88300100514,474,Escape For Men,Calvin Klein,44.55
